,masses,obligate.walk,facultative.walk,Ground_running_specialised,Documented_walking_ability,Hopping,Perching,Hanging_Clinging,Scansorial,Raptorial,Digit_manip,Force_grip,Hold_down,Swimming_ability,Surface_foot_propelled_swimming,Submerged_foot_propelled_swimming
Acanthisitta_chloris,6.5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Accipiter_superciliosus,211.5,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0
Alcedo_quadribrachys,30.75,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
Anas_superciliosa,398.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Anhinga_anhinga,1085,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1
Anser_canagicus,3110,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Anseranas_semipalmata,2516.5,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
Apaloderma_aequatoriale,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aramus_guarauna,1137.5,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0
Archilochus_colubris,3.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ardea_herodias,1200,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ardeotis_kori,10425,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Arenaria_interpres,137,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
Aythya_valisineria,845.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Balaeniceps_rex,5915,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Balearica_regulorum,3500,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
Barnardius_zonarius,152.5,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0
Bonasa_umbellus,630,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Bucco_capensis,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bucorvus_leadbeateri,4000,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Burhinus_oedicnemus,334.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Buteo_jamaicensis,1197.5,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
Calandrella_brachydactyla,23,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Calyptomena_viridis,57.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Capito_niger,54.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Caprimulgus_europaeus,67.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Caracara_cheriway,1158.5,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0
Cariama_cristata,1862.5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Cathartes_burrovianus,1220,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Pipra_erythrocephala,13.45,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Chaetura_brachyura,23.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Charadrius_hiaticula,96.5,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
Chauna_torquata,2620,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Chelidoptera_tenebrosa,35.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Chloroceryle_inda,121,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
Chordeiles_pusillus,75.75,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Chroicocephalus_cirrocephalus,312.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Chunga_burmeisteri,1200,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Climacteris_melanura,32,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Colinus_cristatus,190.75,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Urocolius_indicus,49.5,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Colius_colius,52.5,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Columba_livia,487,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Columbina_minuta,34.1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Coracias_cyanogaster,171,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Corvus_albus,412.5,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
Crax_alector,2852.5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Cryptopipo_holochlora,17.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crypturellus_tataupa,221.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Cuculus_optatus,69.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dendrocygna_viduata,747.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Deroptyus_accipitrinus,245,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0
Phoebastria_nigripes,3395,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elaenia_flavogaster,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Elanus_leucurus,259,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
Eudromia_elegans,647,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Eurypyga_helias,241.75,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Falco_sparverius,118,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
Fregata_magnificens,1250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fringilla_coelebs,23,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Galbula_dea,28.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gavia_immer,1724,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Glareola_nuchalis,79,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Grus_canadensis,6760,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Haematopus_palliatus,623.75,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Heliornis_fulica,608.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Hemiprocne_comata,22.225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hirundinea_ferruginea,31.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hymenops_perspicillatus,20.1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Indicator_exilis,17.5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
Ixobrychus_minutus,104.5,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Jacana_jacana,119.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Jynx_torquilla,40,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
Leptoptilos_crumeniferus,6450,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Leptotila_rufaxilla,149,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Limosa_lapponica,370.5,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
Malurus_splendens,7,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Megalaima_chrysopogon,162.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Melanopareia_maximiliani,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Menura_novaehollandiae,995,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Micrastur_gilvicollis,212.5,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
Momotus_lessonii,140,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Monias_benschi,140,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Myiobius_barbatus,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Myrmornis_torquata,45,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Myrmothera_campanisona,49.875,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Neodrepanis_coruscans,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Numida_meleagris,1479.75,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Nyctibius_griseus,173.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oceanodroma_leucorhoa,46,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Odontophorus_gujanensis,304,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Opisthocomus_hoazin,797.5,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1
Ortalis_motmot,615,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Pandion_haliaetus,1510,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0
Pedionomus_torquatus,67.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Pelagodroma_marina,54,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Pelecanoides_urinatrix,135.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Pelecanus_occidentalis,3500,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Phaethon_rubricauda,315,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Phalacrocorax_brasilianus,2483,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Phoenicopterus_ruber,3100,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Phoeniculus_purpureus,70,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Picus_canus,194,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Piprites_chloris,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Poecile_lugubris,11.6,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Porphyrio_porphyrio,796.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Probosciger_aterrimus,775,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0
Psittacus_erithacus,446,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0
Psittrichas_fulgidus,745,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0
Psophia_crepitans,1145,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Pterocles_bicinctus,180,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ptilinopus_magnificus,165,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ptilonorhynchus_violaceus,222.75,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Puffinus_griseus,705,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Pycnonotus_macrotis,34,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Rallus_longirostris,84,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
Ramphastos_ambiguus,672.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Recurvirostra_americana,296.5,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
Regulus_ignicapilla,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Rhynchocyclus_olivaceus,21.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Rollandia_rolland,336,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Rollulus_rouloul,256.25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Rostratula_benghalensis,145,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Rupicola_rupicola,242.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rynchops_niger,302.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Sagittarius_serpentarius,3285,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0
Sclerurus_mexicanus,27,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Scopus_umbretta,422.5,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Spheniscus_humboldti,4350,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Sterna_hirundo,121.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Streptoprocne_zonaris,96.375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strix_varia,496.5,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
Morus_serrator,1502.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Sylvia_melanocephala,19,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Terenura_callinota,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Tigrisoma_lineatum,840,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Tityra_cayana,82.55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tockus_camurus,202,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Todus_mexicanus,6.025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Topaza_pella,12.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Treron_calvus,455.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Tringa_solitaria,86,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
Trogon_elegans,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Turdus_olivater,80.5,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Turnix_ocellata,88.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Tyrannus_albogularis,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tyto_alba,550,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
Upupa_epops,67.5,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
Vultur_gryphus,11250,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
